Nom de la chaîne,Satellite,Fréquence,Polarisation,Symbol Rate,Type Service,Type Vidéo
GOL,Astra1,11127,1,22000,0,2
GOLF+,Astra1,12402,1,29700,0,27
GULLI,Astra1,11895,1,29700,0,27
GUÍA,Astra1,10847,1,22000,0,2
GUÍA FÁCIL,Astra1,10847,1,22000,0,2
GayBoys LIVE,Astra1,12633,0,22000,0,2
Genius Exklusiv,Astra1,11836,0,27500,0,27
Genius Family,Astra1,11836,0,27500,0,27
Genius Plus,Astra1,10773,0,22000,0,27
Genius TV,Astra1,12663,0,22000,0,27
Genius Trend,Astra1,12480,1,27500,0,2
HGTV,Astra1,10921,0,22000,0,2
HGTV HD,Astra1,12344,0,27500,0,27
HISTOIRE TV,Astra1,11934,1,29700,0,27
HISTORY Channel,Astra1,12382,0,27500,0,27
HSE Extra,Astra1,12226,0,27500,0,2
HSE Extra HD,Astra1,10803,0,22000,0,27
HSE HD,Astra1,10773,0,22000,0,27
HSE SD,Astra1,12480,1,27500,0,2
HSE Trend SD,Astra1,12480,1,27500,0,2
Handystar TV,Astra1,12460,0,27500,0,2
Handystar TV 2,Astra1,12480,1,27500,0,2
Handystar TV HD,Astra1,10964,0,22000,0,27
Heimatkanal,Astra1,11758,0,27500,0,27
Heiss und Sexy TV,Astra1,12633,0,22000,0,2
Heisse Dates TV,Astra1,12633,0,22000,0,2
Hip Trips,Astra1,12110,0,27500,0,27
Hip Trips HD,Astra1,12640,1,23500,0,27
Hope TV,Astra1,11244,0,22000,0,27
Hot Babes TV,Astra1,12633,0,22000,0,2
Hustler TV,Astra1,12515,0,22000,0,27
Hustler TV CZ,Astra1,12515,0,22000,0,27
Höhenrausch,Astra1,12110,0,27500,0,27
IBERALIA TV,Astra1,11318,1,22000,0,2
INFOSPORT+,Astra1,12207,1,29700,0,27
INPLUS,Astra1,12515,0,22000,0,27
INPLUS.,Astra1,12515,0,22000,0,27
Immer etwas Neues TV,Astra1,12148,0,27500,0,2
Jukebox,Astra1,12382,0,27500,0,27
Just Cooking,Astra1,12110,0,27500,0,27
Just Cooking HD,Astra1,12640,1,23500,0,27
Just Fishing,Astra1,12110,0,27500,0,27
Juwelo HD,Astra1,12574,0,22000,0,27
K-TV HD,Astra1,11112,0,22000,0,27
KURIER TV,Astra1,11244,0,22000,0,27
Kabel 1 Austria,Astra1,12051,1,27500,0,2
Kabel 1 Doku HD Austria,Astra1,11464,0,22000,0,27
Kabel Eins Doku HD,Astra1,11464,0,22000,0,27
KiKA HD,Astra1,11347,1,22000,0,27
KiKA SD,Astra1,11954,0,27500,0,2
L'EQUIPE,Astra1,11895,1,29700,0,27
L-TV,Astra1,12663,0,22000,0,27
LA 1,Astra1,11038,1,22000,0,2
LA 2,Astra1,11318,1,22000,0,2
LA CHAINE METEO,Astra1,11895,1,29700,0,27
LA SEXTA,Astra1,10788,1,22000,0,2
LALIGA TV BAR,Astra1,10876,1,22000,0,2
LALIGA TV BAR 2,Astra1,11038,1,22000,0,2
LALIGA TV BAR 3,Astra1,10788,1,22000,0,2
LALIGA TV BAR 4,Astra1,10936,1,22000,0,2
LALIGA TV BAR HD,Astra1,10818,1,22000,0,27
LALIGA TV HYPERMOTION,Astra1,10758,1,22000,0,27
LALIGA TV HYPERMOTION,Astra1,10936,1,22000,0,2
LALIGA TV HYPERMOTION 2,Astra1,10936,1,22000,0,2
LALIGA TV HYPERMOTION 3,Astra1,10936,1,22000,0,2
LCI,Astra1,12207,1,29700,0,27
LCP,Astra1,12168,1,29700,0,27
LT1-OOE,Astra1,12663,0,22000,0,27
Lokal-TV-Portal HD,Astra1,11553,0,22000,0,27
M+ ACCIÓN,Astra1,11318,1,22000,0,2
M+ ACCIÓN HD,Astra1,10818,1,22000,0,27
M+ CLÁSICOS,Astra1,10979,1,22000,0,2
M+ CLÁSICOS HD,Astra1,11259,1,22000,0,27
M+ COMEDIA,Astra1,11318,1,22000,0,2
M+ DEPORTES,Astra1,10876,1,22000,0,2
M+ DRAMA,Astra1,11318,1,22000,0,2
M+ DRAMA HD,Astra1,10818,1,22000,0,27
M+ Documentales,Astra1,11318,1,22000,0,2
M+ EN JUEGO,Astra1,10788,1,22000,0,2
M+ ESTRENOS,Astra1,11038,1,22000,0,2
M+ ESTRENOS HD,Astra1,10906,1,22000,0,27
M+ Ellas V,Astra1,11318,1,22000,0,2
M+ GOLF,Astra1,10876,1,22000,0,2
M+ GOLF HD,Astra1,11259,1,22000,0,27
M+ HITS,Astra1,11038,1,22000,0,2
M+ Indie,Astra1,11038,1,22000,0,2
M+ Indie HD,Astra1,10906,1,22000,0,27
M+ LALIGA ,Astra1,10876,1,22000,0,2
M+ LALIGA 2,Astra1,10788,1,22000,0,2
M+ LALIGA 2 HD,Astra1,10818,1,22000,0,27
M+ LALIGA 3,Astra1,10979,1,22000,0,2
M+ LALIGA 3 HD,Astra1,10758,1,22000,0,27
M+ LALIGA 4,Astra1,11127,1,22000,0,2
M+ LALIGA 5,Astra1,11127,1,22000,0,2
M+ LALIGA HD,Astra1,10818,1,22000,0,27
M+ NAVIDAD,Astra1,11127,1,22000,0,2
M+ Originales,Astra1,11318,1,22000,0,2
M+ Originales HD,Astra1,10818,1,22000,0,27
M+ SERIES HD,Astra1,11259,1,22000,0,27
M+ VAMOS,Astra1,11156,1,22000,0,2
M+ VAMOS,Astra1,11156,1,22000,0,2
M+ VAMOS 2,Astra1,11097,1,22000,0,2
M+ VAMOS 2 HD,Astra1,10758,1,22000,0,27
M+ VAMOS BAR,Astra1,10876,1,22000,0,2
M+ VAMOSHD,Astra1,10818,1,22000,0,27
M+ VAMOSHD,Astra1,10818,1,22000,0,27
M+COMEDIA HD,Astra1,10906,1,22000,0,27
M+Cine Español,Astra1,11156,1,22000,0,2
M+DEPORTES2,Astra1,11156,1,22000,0,2
M+DEPORTES2HD,Astra1,10906,1,22000,0,27
M+DEPORTES3,Astra1,10979,1,22000,0,2
M+DEPORTES4,Astra1,10979,1,22000,0,2
M+DEPORTES5,Astra1,10979,1,22000,0,2
M+DEPORTES6,Astra1,10788,1,22000,0,2
M+DEPORTES7,Astra1,10936,1,22000,0,2
M+DEPORTES8,Astra1,10979,1,22000,0,2
M+DEPORTESHD,Astra1,11259,1,22000,0,27
M+Documentales HD,Astra1,11259,1,22000,0,27
M+ELLAS V HD,Astra1,11259,1,22000,0,27
M+GOLF 2,Astra1,11097,1,22000,0,2
M+LCAMPEON10,Astra1,10936,1,22000,0,2
M+LCAMPEON11,Astra1,10936,1,22000,0,2
M+LCAMPEON12,Astra1,10936,1,22000,0,2
M+LCAMPEON13,Astra1,10936,1,22000,0,2
M+LCAMPEON2,Astra1,10758,1,22000,0,27
M+LCAMPEON2,Astra1,10979,1,22000,0,2
M+LCAMPEON3,Astra1,10758,1,22000,0,27
M+LCAMPEON3,Astra1,10788,1,22000,0,2
M+LCAMPEON4,Astra1,10979,1,22000,0,2
M+LCAMPEON5,Astra1,10979,1,22000,0,2
M+LCAMPEON6,Astra1,10936,1,22000,0,2
M+LCAMPEON7,Astra1,10936,1,22000,0,2
M+LCAMPEON8,Astra1,10936,1,22000,0,2
M+LCAMPEON9,Astra1,10936,1,22000,0,2
M+LCAMPEONES,Astra1,11097,1,22000,0,2
M+LCAMPEONES,Astra1,11259,1,22000,0,27
M+VAMOSBAR2,Astra1,11097,1,22000,0,2
M6,Astra1,12168,1,29700,0,27
MAN X,Astra1,12012,1,29700,0,27
MANGAS,Astra1,12285,1,29700,0,27
MBS - Test2,Astra1,12633,0,22000,0,27
MBS - Test3,Astra1,12633,0,22000,0,27
MDR S-Anhalt HD,Astra1,10891,0,22000,0,27
MDR Sachsen HD,Astra1,10891,0,22000,0,27
MDR Thüringen HD,Astra1,10891,0,22000,0,27
MELODY,Astra1,11856,1,29700,0,27
MEZZO,Astra1,10788,1,22000,0,2
MEZZO,Astra1,11934,1,29700,0,27
MEZZO LIVE,Astra1,10758,1,22000,0,27
MEZZO LIVE,Astra1,12012,1,29700,0,27
MTV,Astra1,11934,1,29700,0,27
MTV,Astra1,11973,1,27500,0,2
MTV,Astra1,11973,1,27500,0,2
MTV 00s,Astra1,11973,1,27500,0,2
MTV 80s,Astra1,11973,1,27500,0,2
MTV ESPAÑA,Astra1,11127,1,22000,0,2
MTV HD,Astra1,11973,1,27500,0,27
MTV HD AT,Astra1,11973,1,27500,0,27
MULTIDEPORTE,Astra1,10788,1,22000,0,2
MULTIDEPORTE,Astra1,10788,1,22000,0,2
MULTISPORTS 1,Astra1,12090,1,29700,0,27
MULTISPORTS 3,Astra1,12402,1,29700,0,27
MULTISPORTS 4,Astra1,12402,1,29700,0,27
MULTISPORTS 6,Astra1,12090,1,29700,0,27
MediaShop- Meine Einkaufswe,Astra1,12148,0,27500,0,2
MediaShop- Neuheiten,Astra1,12480,1,27500,0,2
Melodie TV NEU,Astra1,11273,0,22000,0,27
Mobile Sex,Astra1,12633,0,22000,0,2
Motorvision+,Astra1,12382,0,27500,0,27
Movistar Plus+,Astra1,11097,1,22000,0,2
Movistar Plus+ HD,Astra1,10758,1,22000,0,27
N24 DOKU,Astra1,12460,0,27500,0,2
NAT GEO WILD,Astra1,11318,1,22000,0,2
NAT GEOGRAPH,Astra1,10876,1,22000,0,2
NDR FS HH HD,Astra1,11582,0,22000,0,27
NDR FS MV HD,Astra1,11582,0,22000,0,27
NDR FS NDS HD,Astra1,11582,0,22000,0,27
NDR FS SH HD,Astra1,11582,0,22000,0,27
NEOX,Astra1,11097,1,22000,0,2
NHK WORLD-JPN,Astra1,11229,1,22000,0,27
NICER DICER TV,Astra1,12148,0,27500,0,27
NICK JR,Astra1,10788,1,22000,0,2
NICKELODEON,Astra1,11156,1,22000,0,2
NICKELODEON,Astra1,12324,1,29700,0,27
NICKELODEON JUNIOR,Astra1,12324,1,29700,0,27
NICKTOONS,Astra1,11895,1,29700,0,27
NIEDERBAYERN TV HD,Astra1,11553,0,22000,0,27
NITRO,Astra1,12188,0,27500,0,2
NITRO Austria,Astra1,12663,0,22000,0,27
NITRO HD,Astra1,11082,0,22000,0,27
NOA,Astra1,12324,1,29700,0,27
NOVA,Astra1,11318,1,22000,0,2
NOVELAS TV,Astra1,12090,1,29700,0,27
NOVO19,Astra1,12090,1,29700,0,27
NRJ 12,Astra1,12552,1,22000,0,27
NRJ 12,Astra1,12552,1,22000,0,27
NRJ HITS,Astra1,11856,1,29700,0,27
NatGeo,Astra1,11914,0,27500,0,27
NatGeo Wild,Astra1,12032,0,27500,0,27
Neuer Sender,Astra1,12663,0,22000,0,27
Nick Jr,Astra1,11973,1,27500,0,2
Nick Jr.,Astra1,11973,1,27500,0,2
Nick Jr..,Astra1,11973,1,27500,0,2
Nick Junior Global,Astra1,11973,1,27500,0,2
Nick.Jr.,Astra1,11973,1,27500,0,2
Nick/Comedy Central+1,Astra1,11973,1,27500,0,2
Nick_Jr.,Astra1,11973,1,27500,0,2
Nick_Jr..,Astra1,11973,1,27500,0,2
Nick_Jr_,Astra1,11973,1,27500,0,2
Nicktoons,Astra1,11992,0,27500,0,27
OCS,Astra1,12168,1,29700,0,27
OCS Geants,Astra1,12285,1,29700,0,27
OCS MAX,Astra1,12012,1,29700,0,27
OLYMPIA TV,Astra1,11856,1,29700,0,27
ONE HD,Astra1,11053,0,22000,0,27
ORF 2 EUROPE HD,Astra1,11273,0,22000,0,27
ORF HITRADIO OE3 VISUAL,Astra1,11303,0,22000,0,27
ORF III HD,Astra1,11273,0,22000,0,27
ORF SPORT+,Astra1,11244,0,22000,0,2
ORF SPORT+ HD,Astra1,11273,0,22000,0,27
ORF1 HD,Astra1,11303,0,22000,0,27
ORF2B HD,Astra1,11273,0,22000,0,27
ORF2K HD,Astra1,11273,0,22000,0,27
ORF2N HD,Astra1,11303,0,22000,0,27
ORF2O HD,Astra1,11273,0,22000,0,27
